test_id|interface|title|conf|pre-update database|pre-update table|pre-query mongo|pre-update mongo|wopParticipantID||mopParticipantID||data|expected|check_mongo|check_mongo_expected|update database|update_mongo|test_scenario
63-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY,wccr为0,isbilling:true计算清算,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
64-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
64-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY,wccr为0.1,isbilling:true计算清算,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.mccr":0.1}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
65-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
65-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY,wccr为0.1,isbilling:true计算清算,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.wccr":0.1}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
66-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
66-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY,cccr为0.1,isbilling:true计算清算,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.cccr":0.1}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
67-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
67-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency,cccr为0.1,isbilling:true计算清算,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.settleCurrency":"CAD"}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
68-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
68-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY!=billingcurrency=CAD,isbilling:true计算清算,取个性化表,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.billingCurrency":"CAD"}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "CAD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "CAD","cccr" : 0.15}|||all
69-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31||{"brandID": "Auto_GrabPay_31"}|{"code": "S0000", "message": "Success."}|||||all
69-2|CPM Payment|CPM Payment直清模式-trans=mopSettCurrency=wopSettCurrency=JPY!=billingcurrency=CAD,isbilling:true计算清算,取个性化表,取个性化表||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_31"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.billingCurrency":"CAD","settleInfo.cccr":0.1}|WOP_Auto_JCoinPay_31||MOP_Auto_GrabPay_31|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "CAD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "CAD","cccr":0.1}|||all
70-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32||{"brandID": "Auto_GrabPay_32"}|{"code": "S0000", "message": "Success."}|||||all
70-2|CPM Payment|CPM Payment默认配置，无个性化表trans=mopSettCurrency=wopSettCurrency=JPY,cccr为0.15,isbilling:true计算清算||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_32"}|{"settleInfo.isBillingAmountCalculated":True}|WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
71-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32||{"brandID": "Auto_GrabPay_32"}|{"code": "S0000", "message": "Success."}|||||all
71-2|CPM Payment|CPM Payment默认配置，无个性化表trans=mopSettCurrency=wopSettCurrency=JPY!=billingcurrency=CAD,isbilling:true计算清算||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_32"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.billingCurrency":"CAD","settleInfo.cccr" : 0.15}|WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "CAD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "CAD","cccr" : 0.15}|||all
72-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32||{"brandID": "Auto_GrabPay_32"}|{"code": "S0000", "message": "Success."}|||||all
72-2|CPM Payment|CPM Payment默认配置，无个性化表trans=mopSettCurrency=wopSettCurrency=JPY!=billingcurrency=CAD,isbilling:true,CCCR=0.1计算清算||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_32"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.billingCurrency":"CAD","settleInfo.cccr":0.1}|WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "JPY","mopSettleCurrency" : "JPY","billingCurrency" : "CAD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "CAD","cccr":0.1}|||all
73-1|CPM Token|CPM Token-交易成功||||||WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32||{"brandID": "Auto_GrabPay_32"}|{"code": "S0000", "message": "Success."}|||||all
73-2|CPM Payment|CPM Payment默认配置，无个性化表trans=mopSettCurrency!=wopSettCurrency=JPY=billingcurrency=CAD,isbilling:true,CCCR=0.1计算清算||tyo|wop|{"baseInfo.wopID" : "WOP_Auto_JCoinPay_32"}|{"settleInfo.isBillingAmountCalculated":True,"settleInfo.settleCurrency":"CAD","settleInfo.cccr":0.1}|WOP_Auto_JCoinPay_32||MOP_Auto_GrabPay_32|||{"code": "S0000", "message": "Success."}|{"evonetOrderNumber": "#evonetOrderNumber#"}|{"wopSettleCurrency" : "CAD","wopSettleSourceCurrency":"JPY","wopSettleDestinationCurrency":"CAD","mopSettleCurrency" : "JPY","billingCurrency" : "JPY"}|||all
77-1|CPM Token|CPM Token-交易成功||||||||||{"brandID": "Auto_GrabPay_01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
77-2|CPM Payment|CPM Payment-币种为HKD,transAmount.value为123456||||||||||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "HKD", "value": "123456"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|||||all
78-1|CPM Token|CPM Token-交易成功|{"wopParticipantID":"WOP_Auto_JCoinPay_23","mopParticipantID":"MOP_Auto_GrabPay_23"}|||||WOP_Auto_JCoinPay_23||MOP_Auto_GrabPay_23||{"brandID": "Auto_GrabPay_23", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
78-2|CPM Payment|evonet模式1个性化表中mccr为0|{"wopParticipantID":"WOP_Auto_JCoinPay_23","mopParticipantID":"MOP_Auto_GrabPay_23"}|||||WOP_Auto_JCoinPay_23||MOP_Auto_GrabPay_23||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.0,"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.0,"billingCurrency" : "USD","cccr" : 0.15}|||all
80-1|CPM Token|CPM Token-交易成功||{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"brandID": "Auto_GrabPay_02", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
80-2|CPM Payment|evonet模式1|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|tyo|customizeConfig|{"wopID":"WOP_Auto_JCoinPay_02"}|["transCurrencies.0.mccr"]|WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" : 0.12,"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.13,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
81-1|CPM Token|CPM Token-交易成功||{"wopParticipantID":"WOP_Auto_JCoinPay_09","mopParticipantID":"MOP_Auto_GrabPay_09"}||||WOP_Auto_JCoinPay_09||MOP_Auto_GrabPay_09||{"brandID": "Auto_GrabPay_09", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
81-2|CPM Payment|evonet模式1|{"wopParticipantID":"WOP_Auto_JCoinPay_09","mopParticipantID":"MOP_Auto_GrabPay_09"}|tyo|mop|{"baseInfo.mopID":"MOP_Auto_GrabPay_09"}|["transCurrencies.0.mccr"]|WOP_Auto_JCoinPay_09||MOP_Auto_GrabPay_09||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :0.12,"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.17,billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
82-1|CPM Token|CPM Token-交易成功||{"wopParticipantID":"WOP_Auto_JCoinPay_bilateral01","mopParticipantID":"MOP_Auto_GrabPay_bilateral01"}||||WOP_Auto_JCoinPay_bilateral01||MOP_Auto_GrabPay_bilateral01||{"brandID": "Auto_GrabPay_bilateral01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
82-2|CPM Payment|直清模式-币种转换-mccrwccr取值|{"wopParticipantID":"WOP_Auto_JCoinPay_bilateral01","mopParticipantID":"MOP_Auto_GrabPay_bilateral01"}|||||WOP_Auto_JCoinPay_bilateral01||MOP_Auto_GrabPay_bilateral01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopSettleCurrency" : "CAD","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "CAD","wccr" : 0.11,"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.11,"billingCurrency" : "EUR","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "EUR", "cccr" :  0.15}|||all
83-1|CPM Token|CPM Token-交易成功||{"wopParticipantID":"WOP_Auto_JCoinPay_bilateral01","mopParticipantID":"MOP_Auto_GrabPay_bilateral01"}||||WOP_Auto_JCoinPay_bilateral01||MOP_Auto_GrabPay_bilateral01||{"brandID": "Auto_GrabPay_bilateral01", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
83-2|CPM Payment|直清模式-币种转换-mccrwccr取值|{"wopParticipantID":"WOP_Auto_JCoinPay_bilateral01","mopParticipantID":"MOP_Auto_GrabPay_bilateral01"}|tyo|customizeConfig|{"wopID":"WOP_Auto_JCoinPay_bilateral01"}|["transCurrencies.0.mccr"]|WOP_Auto_JCoinPay_bilateral01||MOP_Auto_GrabPay_bilateral01||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopSettleCurrency" : "CAD","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "CAD","wccr" : 0.11,"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.13,"billingCurrency" : "EUR","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "EUR", "cccr" :  0.15}|||all
84-1|CPM Token|CPM Token-交易成功||{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}||||WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"brandID": "Auto_GrabPay_02", "userData": {"wopUserReference":"#autotest_data#", "wopToken":"#autotest_data#", "evonetUserReference":"#autotest_data#"}}|{"code": "S0000", "message": "Success."}|||||all
84-2|CPM Payment|evonet模式1|{"wopParticipantID":"WOP_Auto_JCoinPay_02","mopParticipantID":"MOP_Auto_GrabPay_02"}|tyo|customizeConfig|{"wopID":"WOP_Auto_JCoinPay_02"}|["transCurrencies.0.mccr","wccr"]|WOP_Auto_JCoinPay_02||MOP_Auto_GrabPay_02||{"mopToken": {"value": "#mopToken#"}, "mopOrderNumber": "#mopOrderNumber#", "mopTransTime": "#mopTransTime#", "transAmount": {"currency": "JPY", "value": "23"}, "storeInfo": {"id": "auto storeId", "localName": "auto localName", "mcc": "7011"}}|{"code": "S0000", "message": "Success."}|{"traceID": "#traceID#"}|{"wopSettleCurrency" : "EUR","wopSettleSourceCurrency" : "JPY","wopSettleDestinationCurrency" : "EUR","wccr" :  0.14,"mopSettleCurrency" : "CAD","mopSettleSourceCurrency" : "JPY","mopSettleDestinationCurrency" : "CAD","mccr" : 0.13,"billingCurrency" : "USD","billingSourceCurrency" : "JPY","billingDestinationCurrency" : "USD", "cccr" :  0.15}|||all
